timestamp,Basel Temperature 
0,11.620529
100,11.400529
200,10.940529
300,10.610529
400,10.030529
500,9.440529
600,8.980529
700,8.700529
800,8.3005295
900,8.450529
1000,10.3005295
1100,12.8005295
1200,14.950529
1300,16.39053
1400,17.840528
1500,18.580528
1600,18.87053
1700,18.690529
1800,18.260529
1900,17.580528
2000,16.64053
2100,15.610529
2200,14.360529
2300,13.820529
