timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20200323T0700,-1.5894713,0,13.061753,101.76829
20200323T0800,-1.4894713,0,12.340963,103.73626
20200323T0900,-0.04947134,0,15.988439,100.561005
20200323T1000,1.3705287,0,19.753162,100.097496
20200323T1100,3.2605286,0,19.298836,96.34019
20200323T1200,5.1805286,0,19.512777,94.69868
20200323T1300,7.3205285,0,20.556002,93.71529
20200323T1400,8.900529,0,20.806505,92.93567
20200323T1500,9.880529,0,17.082869,86.42367
20200323T1600,9.960529,0,19.449026,90.78482
20200323T1700,9.700529,0,19.729794,92.321526
20200323T1800,9.090529,0,19.449026,90.78482
20200323T1900,7.8505287,0,17.848799,89.99999
20200323T2000,5.8005285,0,17.057924,91.7899
20200323T2100,4.0605288,0,17.632782,94.332306
20200323T2200,2.8605285,0,19.563631,96.254036
20200323T2300,2.0205286,0,19.403358,98.68635
20200324T0000,1.4005287,0,17.824926,99.46232
20200324T0100,0.8905287,0,15.372918,98.97262
20200324T0200,0.43052867,0,13.583788,101.30993
20200324T0300,-0.10947134,0,5.6449146,109.29004
20200324T0400,-0.56947136,0,5.8182635,105.9454
20200324T0500,-0.77947134,0,7.237064,96.340195
20200324T0600,-0.8094713,0,6.9468617,94.398705
20200324T0700,-1.2694713,0,5.7507854,103.392494
20200324T0800,-1.2294713,0,5.3079824,107.52557
20200324T0900,0.62052864,0,8.795236,88.26429
20200324T1000,2.6505284,0,15.719857,90.971016
20200324T1100,3.9405286,0,18.648,89.99999
20200324T1200,5.8305287,0,19.454498,88.43064
20200324T1300,7.7505283,0,21.052343,88.54978
20200324T1400,9.000529,0,23.4432,89.99999
20200324T1500,9.670529,0,20.043835,85.42608
20200324T1600,9.790529,0,21.870773,87.20729
20200324T1700,9.440529,0,23.176798,89.99999
20200324T1800,8.680529,0,22.645567,89.325966
20200324T1900,7.5705285,0,21.313665,89.28384
20200324T2000,5.8805285,0,19.98,89.99999
20200324T2100,4.6905284,0,20.248152,90.753845
20200324T2200,3.8905284,0,20.82185,93.667786
20200324T2300,3.0405285,0,18.41246,93.31778
20200325T0000,2.4605286,0,12.789975,91.19349
20200325T0100,1.8705287,0,5.842608,65.772255
20200325T0200,0.60052866,0,3.1067312,300.96378
20200325T0300,-0.12947133,0,2.3976,89.99999
20200325T0400,-0.41947132,0,1.1302395,44.999985
20200325T0500,-0.84947133,0,2.2916594,324.46234
20200325T0600,-1.1394713,0,2.6237357,293.9625
20200325T0700,-1.3994713,0,1.7057923,231.3402
20200325T0800,-1.2794713,0,1.7057923,231.3402
20200325T0900,0.10052866,0,3.554219,102.99461
20200325T1000,2.1305285,0,7.8395867,80.21759
20200325T1100,3.7605286,0,6.8075495,30.579224
20200325T1200,4.2705283,0,8.102239,350.5377
20200325T1300,5.1305285,0,6.5795946,338.6294
20200325T1400,7.1405287,0,2.382754,26.565033
20200325T1500,9.560529,0,9.914233,83.82981
20200325T1600,10.160529,0,17.880579,86.583405
20200325T1700,9.990529,0,19.828466,83.82981
20200325T1800,9.270529,0,20.387869,83.24643
20200325T1900,8.190529,0,18.495144,78.36636
20200325T2000,6.6005287,0,13.064469,69.71744
20200325T2100,5.1005287,0,10.375929,60.802513
20200325T2200,4.000529,0,8.710098,66.57131
20200325T2300,3.0905285,0,7.6285353,77.905235
