timestamp, Wind Direction 
20200318T0000,206
20200318T0100,209
20200318T0200,189
20200318T0300,143
20200318T0400,141
20200318T0500,135
20200318T0600,143
20200318T0700,135
20200318T0800,150
20200318T0900,122
