latitude,longitude,country,capital_city,population,gdp,currency,president
26.820553,30.802498,Egypt,Cairo,42 Million,219 Billion,Pound (EGP),Abdel Fattah el-Sisi
28.16324,2.632388,Algeria,Algiers,35 Million,161 Billion,Dinar (DZD),Abdelmadjid Tebboune
9.081999,8.675277,Nigeria,Lagos,158 Million,363 Billion,Nigerian naira,Muhammadu Buhari
-0.023559,37.906193,Kenya,Nairobi,42 Million,40 Billion,Kenyan shilling (KSH),Uhuru Kenyatta
-30.559482,22.937506,South Africa,Pretoria,51 Million,375 Billion,South african rand,Cyril Ramaphosa
-19.015438,29.154857,Zimbabwe,Harare,12 Million,12 Billion,Zimbabwean dollar,Emerson Mnangagwa
